X,Y
0.605050414,0.030364372
0.622891829,0.025641026
0.634788445,0.020917679
0.654860663,0.015182186
0.670472277,0.010796221
0.694255482,0.008097166
0.722493274,0.008097166
0.744017094,0.025641026
0.760328184,0.050607287
0.771436072,0.076585695
0.785520872,0.099527665
0.796635278,0.121120108
0.812950881,0.143049933
0.853720083,0.21120108
0.867805886,0.233468286
0.879661386,0.256410256
0.900434084,0.279352227
0.921218314,0.294534413
0.932388377,0.278677463
0.945073221,0.243589744
0.955547318,0.196018893
0.970491546,0.140688259
0.98092553,0.120107962
0.999455891,0.151821862
1.014982766,0.204453441
1.032749971,0.249662618
1.050548264,0.273954116
1.065391707,0.286437247
1.075784574,0.293522267
1.087668154,0.29757085
1.097327448,0.298245614
1.118143268,0.29217274
1.126327394,0.285425101
1.141951543,0.272604588
1.149395578,0.263832659
1.162049835,0.249325236
1.176945426,0.226720648
1.192583113,0.204790823
1.206736106,0.181848853
1.220887594,0.159919028
1.23652478,0.138326586
1.25290657,0.115721997
1.272261261,0.092780027
1.290866334,0.074224022
1.308723292,0.059041835
1.339961061,0.04048583
1.377136609,0.026653171
1.429167132,0.01754386
1.481936243,0.011470985
1.542874437,0.00877193
1.592664128,0.007422402
