X,Y
3.983461748,-0.008822728
4.46523118,1.717684981
4.946981221,3.311302367
5.545268836,3.575757987
6.143488584,3.375097478
6.668566947,1.912140494
7.252137088,1.312841335
7.850415008,1.510851794
8.44860567,1.110855801
9.046796332,0.710859809
9.645132423,1.307541235
10.21432443,2.170067941
10.78356491,3.364820454
11.27989669,4.891960362
11.76167581,6.684913232
12.24343555,8.34497578
12.73978672,10.00500601
13.2361282,11.59859108
13.74704172,13.05925351
14.25796494,14.5863611
14.79805163,15.98051373
15.35268129,17.04240824
15.93647442,17.97134779
16.53479112,18.43513889
17.14770895,18.96534284
17.73144391,19.49561142
18.34432296,19.76003472
18.95719232,19.95801286
19.5846628,20.22240385
20.18293103,20.35396915
20.78119925,20.48553444
21.40863095,20.48414478
22.02150031,20.68212292
22.63434058,20.68076558
23.23257002,20.54655023
23.86000173,20.54516057
24.47284199,20.54380323
25.08568226,20.54244589
25.68394079,20.60756602
26.29677137,20.53976352
26.90959224,20.40551585
27.50784108,20.40419083
28.13526309,20.33635601
28.74809366,20.2685535
29.36092423,20.200751
29.97374511,20.06650333
