X,Y
3.881321703,-0.008596504
4.654687147,0.122580981
5.121622761,0.187991976
5.763694377,0.518795804
6.202999711,1.245259137
6.766166862,2.792775877
7.118199905,4.127137616
7.493852477,6.582965846
7.752108749,8.23796923
8.121901246,10.72051327
8.345004867,12.58921714
8.679636919,15.23205602
8.902717161,16.94054297
9.313561348,19.44969892
9.606989754,21.02451592
10.01195049,23.40017075
10.38155986,24.62768224
10.90960553,26.60252203
11.32021204,27.48280595
11.90675325,28.46951152
12.37006146,28.84232497
13.02689239,29.29481828
13.4960412,29.50740182
14.15870493,29.74625958
14.66300639,29.74514264
15.26699535,29.7438049
15.74198085,29.76945571
17.50116809,29.73885657
17.98200977,29.71108875
18.63288322,29.52272737
19.0961252,29.44159288
19.75873438,29.30661116
20.18678863,29.19885177
20.85526568,29.09055989
21.3302317,28.9826966
22.00456493,28.82098609
22.43847147,28.63310525
23.13038492,28.39124732
23.58188726,28.23003034
24.20342527,27.93492262
24.68423968,27.72023506
25.35269724,27.47842908
25.79832004,27.21041381
26.91242377,26.86080947
27.59847325,26.61896453
28.02651582,26.43109668
29.14646014,25.92126244
29.83249793,25.59930903
