X,Y
0.145310997,0.001442593
0.435882881,0.022574075
0.700039138,0.060613356
0.911364144,0.108187229
1.083065712,0.154487756
1.228351653,0.199536406
1.347221969,0.250450457
1.452884472,0.299859136
1.558546975,0.350341542
1.664209478,0.401360812
1.769871981,0.454527536
1.835911046,0.507150934
1.928365736,0.571589639
1.9944048,0.618844402
2.047236052,0.669855056
2.139690742,0.728388262
2.218937619,0.794972267
2.298184497,0.846524093
2.364223561,0.892347219
2.469886064,0.945334989
2.68121107,0.991637329
2.971782953,0.999103194
3.262354837,0.9913807
3.46047203,0.942812215
3.55292672,0.882698573
3.605757972,0.836000059
3.669155473,0.777170151
3.724628287,0.719520051
3.780101102,0.665520623
3.854064854,0.604544985
3.909537668,0.55344462
3.965010482,0.502945543
4.041615797,0.446666101
4.118221111,0.394567038
4.226525177,0.336281317
4.345395493,0.282936464
4.477473622,0.231848592
4.635967376,0.184875869
4.847292382,0.138041291
5.11144864,0.097130898
5.402020523,0.069651825
5.692592406,0.048810339
5.98316429,0.03538733
6.273736173,0.025283114
6.564308056,0.019278584
6.841672127,0.016629737
