X,Y
0.139232564,0.003949767
0.415488286,0.035685236
0.625968837,0.083373037
0.770674215,0.126608449
0.902224559,0.170846006
1.033774903,0.221096436
1.165325248,0.276071264
1.283720557,0.328361775
1.375805798,0.378290087
1.467891039,0.432513306
1.573131314,0.485125935
1.665216555,0.537917519
1.757301796,0.583908831
1.828338982,0.631260197
1.902007174,0.688239316
1.980937381,0.729756765
2.033557518,0.77628494
2.138797794,0.835697841
2.204572966,0.88831047
2.309813241,0.939849372
2.507138757,0.988752762
2.743929376,0.971601017
2.901789789,0.920307538
3.033340133,0.871345582
3.164890477,0.825390061
3.32275089,0.774342005
3.520076406,0.723761788
3.77002206,0.675029219
4.059432817,0.649454991
4.348843574,0.657654362
4.585634193,0.695192978
4.730339571,0.742820445
4.835579847,0.78576953
4.91714106,0.830543951
4.99344026,0.889921061
5.164455707,0.947365462
5.212690833,0.979935185
5.348626189,0.902268923
5.394668809,0.831402933
5.427556395,0.786306393
5.480176533,0.729040947
5.499909084,0.672491318
5.559106739,0.616120644
5.601202849,0.55695828
5.664347014,0.501231842
5.727491179,0.436271351
5.835362462,0.372921451
5.927447702,0.310287369
6.045843012,0.258569512
6.164238322,0.209929674
6.335253769,0.162202503
6.585199423,0.114348437
6.861455145,0.078505474
